,lat,lon,Department,City,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,P/sqmtr
5193,4.327,-74.41,Cundinamarca,Fusagasugá,4.0,3.0,114.0,114.0,298000000.0,Casa,2614035.0
5194,4.81,-75.709,Risaralda,Pereira,3.0,4.0,130.0,130.0,340000000.0,Apartamento,2615384.0
5195,6.34,-75.559,Antioquia,Bello,3.0,2.0,70.0,70.0,222000000.0,Apartamento,3171428.0
5196,6.173,-75.57,Antioquia,Envigado,3.0,2.0,117.0,117.0,530000000.0,Apartamento,4529914.0
5197,6.345,-75.508,Antioquia,Copacabana,3.0,2.0,69.0,69.0,150000000.0,Apartamento,2173913.0
5198,6.354,-75.497,Antioquia,Copacabana,3.0,2.0,70.0,70.0,160000000.0,Apartamento,2285714.0
5199,3.491,-76.499,Valle del Cauca,Cali,3.0,1.0,80.0,80.0,102000000.0,Casa,1275000.0
5200,6.34,-75.533,Antioquia,Bello,3.0,2.0,65.0,65.0,242000000.0,Apartamento,3723076.0
5201,6.335,-75.538,Antioquia,Bello,6.0,1.0,384.0,242.0,600000000.0,Casa,1562500.0
5202,4.546,-75.674,Quindío,Armenia,4.0,4.0,121.0,242.0,270000000.0,Casa,2231404.0
5203,3.416,-76.503,Valle del Cauca,Cali,3.0,4.0,112.0,112.0,480000000.0,Apartamento,4285714.0
5205,10.919,-74.814,Atlántico,Soledad,5.0,2.0,72.0,120.0,180000000.0,Casa,2500000.0
5207,3.368,-76.522,Valle del Cauca,Cali,3.0,3.0,100.0,100.0,369000000.0,Apartamento,3690000.0
5208,3.379,-76.519,Valle del Cauca,Cali,3.0,2.0,66.0,66.0,155000000.0,Apartamento,2348484.0
5209,3.378,-76.524,Valle del Cauca,Cali,3.0,2.0,74.0,74.0,215000000.0,Apartamento,2905405.0
5210,3.371,-76.519,Valle del Cauca,Cali,3.0,2.0,75.0,75.0,200000000.0,Apartamento,2666666.0
5211,3.374,-76.517,Valle del Cauca,Cali,3.0,2.0,53.0,53.0,165000000.0,Apartamento,3113207.0
5212,6.246,-75.593,Antioquia,Medellín,3.0,2.0,147.0,147.0,650000000.0,Apartamento,4421768.0
5213,6.261,-75.592,Antioquia,Medellín,3.0,2.0,164.0,164.0,520000000.0,Casa,3170731.0
5214,6.264,-75.594,Antioquia,Medellín,3.0,2.0,240.0,240.0,350000000.0,Casa,1458333.0
5215,10.976,-74.81,Atlántico,Barranquilla,1.0,1.0,54.0,54.0,113400000.0,Apartamento,2100000.0
5216,4.72,-74.035,Cundinamarca,Bogotá D.C,2.0,2.0,53.0,53.0,300500000.0,Apartamento,5669811.0
5217,4.704,-74.031,Cundinamarca,Bogotá D.C,3.0,2.0,145.0,145.0,770000000.0,Apartamento,5310344.0
5219,4.739,-74.033,Cundinamarca,Bogotá D.C,3.0,1.0,56.0,56.0,200000000.0,Apartamento,3571428.0
5221,4.627,-74.067,Cundinamarca,Bogotá D.C,3.0,2.0,85.0,85.0,425000000.0,Apartamento,5000000.0
5222,4.613,-74.066,Cundinamarca,Bogotá D.C,1.0,2.0,43.0,43.0,345000000.0,Apartamento,8023255.0
5223,4.672,-74.058,Cundinamarca,Bogotá D.C,3.0,3.0,96.0,96.0,450000000.0,Apartamento,4687500.0
5224,4.649,-74.056,Cundinamarca,Bogotá D.C,1.0,1.0,35.0,35.0,230000000.0,Apartamento,6571428.0
5227,4.665,-74.048,Cundinamarca,Bogotá D.C,2.0,2.0,70.0,70.0,575000000.0,Apartamento,8214285.0
5228,4.69,-74.131,Cundinamarca,Bogotá D.C,3.0,1.0,58.0,58.0,280000000.0,Casa,4827586.0
